level	Character	Height	Speed	Response	MP_Recovery	Skill_time	Score_add	Uplevel_Coins
int	int	float	float	float	float	float	float	int
1	0	0	0	0.1	0.1	0.2	0.01	500
2	0	0	0	0.2	0.2	0.4	0.02	500
3	0	0	0	0.3	0.3	0.6	0.03	500
4	0	0	0	0.4	0.4	0.8	0.04	500
5	0	0	0	0.5	0.5	1	0.05	500
6	0	0	0	0.6	0.6	1.2	0.06	1000
7	0	0	0	0.7	0.7	1.4	0.07	1000
8	0	0	0	0.8	0.8	1.6	0.08	1000
9	0	0	0	0.9	0.9	1.8	0.09	1000
10	0	0	0	1	1	2	0.1	1000
11	0	0.1	0	1.2	1.2	2.1	0.11	2200
12	0	0.2	0	1.4	1.4	2.2	0.12	2200
13	0	0.3	0	1.6	1.6	2.3	0.13	2200
14	0	0.4	0	1.8	1.8	2.4	0.14	2200
15	0	0.5	0	2	2	2.5	0.15	2200
16	0	0.6	0	2.2	2.2	2.6	0.16	4000
17	0	0.7	0	2.4	2.4	2.7	0.17	4000
18	0	0.8	0	2.6	2.6	2.8	0.18	4000
19	0	0.9	0	2.8	2.8	2.9	0.19	4000
20	0	1	0	3	3	3	0.2	4000
21	1	1.1	0.1	3.2	3.4	3.1	0.21	7000
22	1	1.2	0.2	3.4	3.8	3.2	0.22	7000
23	1	1.3	0.3	3.6	4.2	3.3	0.23	7000
24	1	1.4	0.4	3.8	4.6	3.4	0.24	7000
25	1	1.5	0.5	4	5	3.5	0.25	7000
26	1	1.6	0.6	4.2	5.4	3.6	0.26	7000
27	1	1.7	0.7	4.4	5.8	3.7	0.27	7000
28	1	1.8	0.8	4.6	6.2	3.8	0.28	7000
29	1	1.9	0.9	4.8	6.6	3.9	0.29	7000
30	1	2	1	5	7	4	0.3	7000
31	1	2.1	1.1	5.2	7.6	4.1	0.31	11000
32	1	2.2	1.2	5.4	8.2	4.2	0.32	11000
33	1	2.3	1.3	5.6	8.8	4.3	0.33	11000
34	1	2.4	1.4	5.8	9.4	4.4	0.34	11000
35	1	2.5	1.5	6	10	4.5	0.35	11000
36	1	2.6	1.6	6.2	10.8	4.6	0.36	11000
37	1	2.7	1.7	6.4	11.6	4.7	0.37	11000
38	1	2.8	1.8	6.6	12.4	4.8	0.38	11000
39	1	2.9	1.9	6.8	13.2	4.9	0.39	11000
40	1	3	2	7	14	5	0.4	11000
